Gender,Age,State,Mode of Entry,EDT 111 (2),ITE 101 (2),EDT 112 (2),ITE 102 (2),EDT 113 (2),ITE 103 (2),EDT 114 (2),ITE 104 (2),EDT 115 (2),ITE 105 (2),EDT 116 (2),GNS 111 (2),EDU 111 (2),GNS 112 (2),EDU 112 (2),ASE 114 (2),SSE 115 (2),ASE 116 (2),EDT 117 (2),EDT 118 (2),EDT 119 (2),EDT 120 (2),EDT 121 (2),EDT 122 (2),EDT 123 (2),EDT 124 (2),ITE 201 (2),SSE 201 (2),EDT 211 (2),SSE 202 (2),ITE 202 (2),GSE 202 (2),EDU 212 (2),EDU 211 (2),EDT 212 (2),ITE 203 (2),EDT 203 (3),EDT 214 (2),ITE 204 (2),EDT 215 (2),ITE 206 (2),ITE 207 (2),ITE 208 (2),GNS 211 (2),GNS 212 (2),EDT 213 (2),EDU 213 (2),EDU 214 (2),EDU 215 (2),EDU 216 (2),EDT 216 (2),EDT 217 (2),EDT 218 (2),EDT 219 (2),EDT 220 (2),EDT 221 (2),EDT 222 (2),EDT 223 (1),EDT 224 (2),EDT 225 (2),EDT 226 (2),EDT 227 (2),EDT 228 (2),EDT 229 (2),EDT 230 (2),EDT 311 (2),ITE 301 (2),GSE 301 (3),SSE 302 (2),EDT 312 (2),ITE 302 (2),EDT 313 (2),ITE 303 (2),EDT 314 (2),ITE 304 (2),SSE 304 (3),AED 305 (2),EDT 315 (2),EDT 316 (2),ITE 306 (2),EDT 317 (2),EDT 318 (2),EDT 319 (2),ITE 307 (2),ITE 308 (2),EDT 310 (2),HED 310 (2),GNS 311 (2),EDU 311 (2),GNS 312 (1),EDU 312 (2),EDU 313 (2),EDU 314 (2),EDU 315 (2),EDU 316 (3),EDT 320 (2),EDT 321 (2),EDT 322 (2),EDT 323 (2),EDT 324 (2),EDT 325 (2),EDT 326 (2),EDT 327 (2),EDT 328 (2),EDT 329 (2),DLC 400 (0),EDT 411 (3),EDU 412 (2),EDT 412 (2),AED 403 (2),EDT 413 (2),SSE 404 (2),EDT 414 (2),SED 405 (2),EDT 415 (2),SED 406 (2),EMA 407 (2),CED 408 (2),EDT 410 (2),EDU 411 (4),EDU 413 (2),EDU 414 (2),EDU 415 (2),EDU 416 (2),EDT 416 (2),EDU 417 (2),EDT 417 (2),EDT 418 (2),EDT 419 (2),EDT 420 (2),EDT 421 (2),EDT 422 (2),EDT 423 (2),EDT 424 (2),EDT 425 (2),EDU 499 (4),Final CGPA,Class of Degree
Female,17,kwara,UTME,64,65,47,60,72,67,67,51,55,52,46,61,,62,,58,50,46,,,,61,,,,,58,68,56,50,52,,,,66,53,54,57,65,74,65,65,44,72,48,52,,,,,,,,,,,,,,,,,,,,60,60,40,52,48,,64,70,50,63,53,64,50,61,43,65,50,,55,,60,68,66,,,,,,,,,,,,,,,,,,56,60,,65,65,50,67,51,72,58,62,56,51,65,,,,,,,,,,,,,,,,,68,3.352941176,Second Class Lower
Male,20,ekiti,UTME,51,52,56,69,60,61,31,53,57,45,52,58,,58,,58,66,58,,,,,,,,,62,62,43,46,56,,,,62,49,60,60,64,76,65,40,46,68,46,47,,,,,,,,,,,,,,,,,,,,,40,40,42,43,,60,48,58,64,47,58,,54,,55,50,,58,,51,40,50,,,,,,,,,,,,,,,,,,56,60,,48,93,40,56,15,81,,80,60,65,50,,,,,,,,,,,,,,,,,61,2.512658228,Second Class Lower
Male,21,oyo,UTME,65,82,54,71,75,70,62,55,59,53,60,55,,75,,72,44,62,,,,68,,,,,92,72,62,56,50,,,,70,72,67,66,74,76,73,54,72,78,54,67,,,,,,,,,,,,,,,,,,,,63,66,64,66,52,,76,80,70,67,61,76,62,60,64,71,,,65,70,63,88,60,,,,,,,,,,,,,,,,,,60,66,,68,93,78,67,60,96,60,62,74,65,74,,,,,,,,,,,,,,,,,66,4.222222222,Second Class Upper
Male,24,oyo,UTME,64,81,51,81,70,67,41,51,41,51,82,70,,66,,70,62,68,,,,68,,,,,92,66,60,78,80,,,,66,56,65,64,71,85,71,52,84,84,66,65,,,,,,,,,,,,,,,,,,,,50,60,60,73,45,,75,75,65,65,79,64,51,68,66,70,52,,60,,61,83,62,,,,,,,,,,,,,,,,,,56,67,,68,86,72,75,60,91,66,76,70,76,68,,,,,,,,,,,,,,,,,67,4.117647059,Second Class Upper
Male,20,kwara,UTME,68,56,42,64,50,52,57,52,50,46,50,59,,60,,52,52,54,,,,58,,,,,76,66,54,44,42,,,,60,45,57,45,66,73,61,40,47,66,40,63,,,,,,,,,,,,,,,,,,,,63,64,40,44,43,,53,60,57,64,40,50,50,55,19,65,,,40,,46,73,54,,,,,,,,,,,,,,,,,,56,58,,57,73,54,54,48,81,61,56,68,57,61,,,,,,,,,,,,,,,,,65,2.802547771,Second Class Lower
Male,18,osun,UTME,61,58,42,60,50,56,53,60,43,48,43,51,,59,,54,54,48,,,,47,,,,,56,48,55,40,48,,,,57,40,63,44,68,72,48,51,74,68,48,50,,,,,,,,,,,,,,,,,,,,50,47,40,51,40,52,52,53,67,64,42,56,44,67,,58,40,,58,,60,65,40,,,,,,,,,,,,,,,,,,60,62,,45,85,50,68,48,81,60,49,74,49,57,,,,,,,,,,,,,,,,,65,2.652173913,Second Class Lower
Male,20,kwara,UTME,40,71,48,71,50,67,75,61,62,54,64,50,,50,,54,44,44,,,,64,,,,,70,52,58,40,46,,,,66,52,57,65,73,71,73,61,60,80,40,56,,,,,,,,,,,,,,,,,,,,63,57,40,50,50,,63,71,60,64,40,46,48,72,43,54,45,,60,,46,67,58,,,,,,,,,,,,,,,,,,56,67,,45,96,66,65,45,88,0,75,50,57,58,,,,,,,,,,,,,,,,,62,3.202614379,Second Class Lower
Female,19,ekiti,UTME,63,70,57,63,50,65,48,64,45,58,56,50,,68,,54,54,62,,,,54,,,,,74,54,58,54,42,,,,62,57,60,60,74,76,72,70,48,76,52,65,,,,,,,,,,,,,,,,,,,,63,55,42,51,45,,65,70,67,64,55,48,66,73,63,63,50,,50,,61,75,54,,,,,,,,,,,,,,,,,,56,58,,62,88,64,68,57,77,58,68,54,62,54,,,,,,,,,,,,,,,,,63,3.522875817,Second Class Upper
Male,23,osun,UTME,62,78,54,75,50,68,45,75,57,53,45,52,,56,,54,48,64,,,,68,,,,,76,66,46,68,44,,,,70,56,65,58,66,79,52,52,60,80,64,67,,,,,,,,,,,,,,,,,,,,73,67,44,85,45,73,64,80,56,70,68,66,,70,,66,,,60,67,71,67,52,,,,,,,,,,,,,,,,,,66,63,,61,89,57,71,60,87,55,67,64,66,61,,,,,,,,,,,,,,,,,64,3.664516129,Second Class Upper
Male,22,osun,UTME,64,61,46,66,50,60,45,51,58,51,70,71,,67,,58,56,52,,,,65,,,,,90,64,65,50,58,,,,60,50,60,60,72,81,70,59,66,82,52,65,,,,,,,,,,,,,,,,,,,,61,63,56,71,40,,81,78,66,65,57,82,56,68,52,66,,,65,63,63,75,66,,,,,,,,,,,,,,,,,,80,54,,64,98,63,69,54,97,60,76,74,68,60,,,,,,,,,,,,,,,,,62,3.761290323,Second Class Upper
Male,17,oyo,UTME,64,76,63,80,50,64,50,56,66,57,66,67,,60,,62,56,66,,,,64,,,,,90,60,54,60,52,,,,72,60,60,45,58,74,64,54,78,72,44,55,,,,,,,,,,,,,,,,,,,,60,56,60,58,52,71,70,82,65,65,53,70,56,67,,62,71,,60,,62,73,74,,,,,,,,,,,,,,,,,,76,58,,64,98,58,61,40,89,53,67,64,56,61,,,,,,,,,,,,,,,,,60,3.75483871,Second Class Upper
Male,19,kwara,UTME,61,54,61,67,55,67,66,62,56,52,57,59,,56,,62,46,56,,,,57,,,,,82,68,51,46,54,,,,65,53,60,52,67,71,73,56,56,68,46,63,,,,,,,,,,,,,,,,,,,,73,54,40,62,40,,64,74,43,65,54,68,51,66,50,65,,,58,64,45,75,60,,,,,,,,,,,,,,,,,,66,57,,61,95,54,89,63,88,61,82,76,58,66,,,,,,,,,,,,,,,,,65,3.263803681,Second Class Lower
Female,17,kogi,UTME,60,74,50,76,67,68,45,54,59,56,74,62,,48,,60,68,52,,,,65,,,,,82,52,58,56,52,,,,57,64,64,61,47,73,58,47,78,66,48,65,,,,,,,,,,,,,,,,,,,,73,55,42,58,56,,64,86,65,66,56,62,54,65,60,73,60,68,60,,61,71,46,,,,,,,,,,,,,,,,,,60,63,,68,95,62,72,57,88,58,72,70,67,60,,,,,,,,,,,,,,,,,68,3.699346405,Second Class Upper
Female,18,ondo,UTME,63,47,59,67,60,61,64,53,58,47,46,75,,62,,56,50,44,,,,55,,,,,88,60,65,62,58,,,,57,66,64,49,64,74,70,50,66,80,66,60,,,,,,,,,,,,,,,,,,,,62,43,50,69,46,,74,84,64,65,59,62,48,71,56,70,50,64,60,,65,75,70,,,,,,,,,,,,,,,,,,80,60,,61,91,54,73,48,80,66,61,66,59,57,,,,,,,,,,,,,,,,,66,3.638709677,Second Class Upper
Male,17,kwara,UTME,60,56,45,58,50,68,52,48,57,50,46,62,,60,,58,66,48,,,,43,,,,,74,54,52,44,64,,,,64,47,50,45,60,70,51,56,74,70,56,42,,,,,,,,,,,,,,,,,,,,62,50,46,49,42,,53,67,68,64,44,52,,60,,58,50,,52,,55,62,52,,,,,,,,,,,,,,,,,,90,58,,62,89,54,65,48,85,40,65,64,55,66,,,,,,,,,,,,,,,,,63,2.828220859,Second Class Lower
Male,15,oyo,UTME,45,56,40,77,50,60,59,53,54,53,76,42,,63,,60,56,72,,,,50,,,,,82,74,59,66,62,,,,70,57,50,68,67,81,67,43,76,76,60,60,,,,,,,,,,,,,,,,,,,,73,64,56,58,60,,70,71,56,65,55,70,50,67,52,76,,,60,67,65,70,66,,,,,,,,,,,,,,,,,,70,68,,63,83,58,69,61,76,52,67,72,67,65,,,,,,,,,,,,,,,,,64,3.794701987,Second Class Upper
Female,22,oyo,UTME,68,72,51,45,55,64,59,55,56,46,58,54,,48,,52,48,46,,,,73,,,,,78,72,56,60,44,,,,67,51,66,58,70,76,63,62,58,72,48,55,,,,,,,,,,,,,,,,,,,,62,51,40,68,42,,77,88,73,67,57,62,58,71,50,68,65,,50,,54,80,62,,,,,,,,,,,,,,,,,,76,55,,66,88,55,42,57,89,71,61,60,68,62,,,,,,,,,,,,,,,,,64,3.536423841,Second Class Upper
Male,19,osun,UTME,62,50,54,53,50,66,63,49,56,52,50,60,,40,,44,54,42,,,,47,,,,,48,44,56,40,66,,,,63,40,55,40,40,72,61,52,58,66,42,48,,,,,,,,,,,,,,,,,,,,52,47,53,50,43,,64,80,54,65,41,58,50,54,42,58,,,40,,53,56,50,,,,,,,,,,,,,,,,,,56,63,,61,77,60,59,48,66,50,51,58,60,50,,,,,,,,,,,,,,,,,55,2.651898734,Second Class Lower
Male,16,ondo,UTME,40,50,45,71,65,64,53,42,60,45,70,55,,64,,68,54,54,,,,57,,,,,62,62,42,42,46,,,,67,50,56,43,70,75,65,55,58,62,58,60,,,,,,,,,,,,,,,,,,,,60,64,50,66,42,,53,74,54,67,44,50,50,52,,57,50,,50,55,43,59,50,,,,,,,,,,,,,,,,,,66,70,,64,58,61,73,50,87,57,57,52,62,60,,,,,,,,,,,,,,,,,65,3.133757962,Second Class Lower
Male,17,osun,UTME,44,48,46,74,50,67,60,62,27,48,64,48,,64,,68,76,76,,,,40,,,,,76,58,56,40,46,,,,67,55,60,44,71,76,65,60,58,74,46,50,,,,,,,,,,,,,,,,,,,,60,64,42,60,45,,57,47,63,64,50,62,,55,33,58,50,,50,,50,69,60,,,,,,,,,,,,,,,,,,90,66,,60,59,53,68,26,60,0,56,46,63,67,,,,,,,,,,,,,,,,,65,2.981132075,Second Class Lower
Male,18,ogun,UTME,66,74,50,57,57,67,69,58,56,52,54,60,,55,,52,66,56,,,,58,,,,,70,50,70,44,48,,,,70,40,56,49,61,66,68,60,54,70,46,53,,,,,,,,,,,,,,,,,,,,61,60,40,49,48,,63,71,50,64,55,56,48,50,55,60,50,,60,,60,64,48,,,,,,,,,,,,,,,,,,46,66,,61,84,57,55,66,66,55,63,54,53,63,,,,,,,,,,,,,,,,,66,3.31372549,Second Class Lower
Male,18,kwara,UTME,65,52,42,68,55,62,64,51,62,54,46,66,,58,,48,68,46,,,,56,,,,,82,58,53,52,46,,,,68,56,64,63,72,73,67,53,56,70,54,50,,,,,,,,,,,,,,,,,,,,60,57,48,58,53,,74,62,65,65,53,54,56,64,58,64,60,,50,,58,71,54,,,,,,,,,,,,,,,,,,76,62,,58,82,60,61,64,70,62,47,64,56,67,,,,,,,,,,,,,,,,,70,3.529801325,Second Class Upper
Male,18,lagos,UTME,66,50,45,70,54,63,58,57,57,43,40,54,,64,,68,64,64,,,,64,,,,,78,50,56,54,48,,,,58,53,60,55,73,85,67,43,50,82,50,63,,,,,,,,,,,,,,,,,,,,65,65,52,62,54,,53,67,70,64,53,52,58,55,54,64,,,40,,40,66,56,,,,,,,,,,,,,,,,,,90,70,,60,85,65,58,60,70,51,62,64,67,62,,,,,,,,,,,,,,,,,66,3.397350993,Second Class Lower
Female,19,lagos,UTME,68,75,47,77,57,70,69,62,58,53,50,62,,63,,50,64,48,,,,66,,,,,84,70,50,40,52,,,,66,65,60,62,68,79,75,68,56,76,60,63,,,,,,,,,,,,,,,,,,,,65,58,52,71,55,,77,73,72,64,53,66,68,66,55,68,53,,60,,63,79,56,,,,,,,,,,,,,,,,,,66,61,,64,88,63,71,58,79,60,63,58,70,61,,,,,,,,,,,,,,,,,60,3.85620915,Second Class Upper
Female,19,ekiti,UTME,58,70,50,80,50,65,76,58,64,51,58,63,,60,,64,64,64,,,,67,,,,,94,72,50,66,52,,,,65,60,58,60,79,84,61,51,58,62,62,53,,,,,,,,,,,,,,,,,,,,66,60,52,69,53,,77,84,64,66,56,62,52,61,66,61,65,,70,,70,83,68,,,,,,,,,,,,,,,,,,66,63,,62,95,62,75,66,86,64,66,74,68,61,,,,,,,,,,,,,,,,,66,3.947712418,Second Class Upper
Female,18,kwara,UTME,65,61,52,60,50,66,69,54,58,52,48,50,,54,,46,46,44,,,,68,,,,,70,58,64,50,44,,,,61,57,50,58,70,68,52,61,54,68,40,55,,,,,,,,,,,,,,,,,,,,60,56,40,52,52,,78,77,50,65,50,62,54,65,46,60,,,40,66,60,70,46,,,,,,,,,,,,,,,,,,76,61,,57,86,53,58,48,76,58,51,66,48,63,,,,,,,,,,,,,,,,,64,3.153846154,Second Class Lower
Female,20,ogun,UTME,57,50,50,57,50,48,43,54,44,51,43,59,,61,,48,40,52,,,,48,,,,,74,54,54,42,50,,,,73,45,58,51,65,75,66,41,62,58,40,55,,,,,,,,,,,,,,,,,,,,60,43,42,48,46,,45,73,64,66,43,52,48,71,45,60,,58,50,,65,64,42,,,,,,,,,,,,,,,,,,76,63,,60,65,53,53,47,59,63,62,66,59,55,,,,,,,,,,,,,,,,,65,2.888888889,Second Class Lower
Male,,kwara,UTME,44,66,40,73,50,69,69,49,66,56,64,58,,60,,58,56,58,,,,70,,,,,92,62,50,64,46,,,,64,52,56,43,68,73,62,67,66,76,48,50,,,,,,,,,,,,,,,,,,,,60,66,40,68,63,,70,78,64,64,62,62,60,61,57,56,54,,65,,51,78,50,,,,,,,,,,,,,,,,,,50,60,,60,96,57,67,54,89,61,63,58,59,65,,,,,,,,,,,,,,,,,63,3.522875817,Second Class Upper
Male,20,kwara,UTME,64,78,42,63,50,66,55,50,52,50,51,51,,59,,72,66,68,,,,68,,,,,86,58,46,44,42,,,,66,53,60,61,67,76,67,48,48,74,60,55,,,,,,,,,,,,,,,,,,,,56,65,54,56,48,,67,72,68,65,53,76,45,64,55,60,,,65,63,70,71,50,,,,,,,,,,,,,,,,,,56,62,,63,85,55,71,51,84,71,59,56,67,74,,,,,,,,,,,,,,,,,64,3.588235294,Second Class Upper
Female,18,ondo,UTME,58,60,48,65,70,65,76,52,56,60,56,55,,61,,60,66,58,,,,63,,,,,80,66,64,48,58,,,,68,60,61,72,68,76,70,47,48,60,58,60,,,,,,,,,,,,,,,,,,,,65,51,40,54,53,,67,70,64,68,63,52,56,60,68,56,54,,60,,58,72,54,,,,,,,,,,,,,,,,,,60,63,,76,91,61,74,55,80,63,75,58,56,70,,,,,,,,,,,,,,,,,62,3.718954248,Second Class Upper
Female,19,ogun,UTME,52,53,40,67,50,66,69,52,56,46,40,47,,58,,52,44,44,,,,63,,,,,62,44,64,42,46,,,,67,50,60,62,65,70,67,54,48,64,58,50,,,,,,,,,,,,,,,,,,,,58,58,46,57,51,,73,73,68,67,45,54,50,64,63,61,,,40,64,60,69,50,,,,,,,,,,,,,,,,,,66,56,,55,82,57,58,47,78,64,61,68,52,57,,,,,,,,,,,,,,,,,65,3.05,Second Class Lower
Male,17,kwara,UTME,68,63,50,78,55,60,40,63,52,55,46,51,,65,,70,52,52,,,,65,,,,,88,62,60,62,46,,,,71,50,54,54,40,83,74,45,62,78,58,60,,,,,,,,,,,,,,,,,,,,56,58,52,61,66,,80,68,66,65,61,56,48,60,63,63,50,,60,,55,80,64,,,,,,,,,,,,,,,,,,60,64,,58,95,55,68,52,74,56,70,58,60,67,,,,,,,,,,,,,,,,,68,3.580645161,Second Class Upper
Male,19,kogi,UTME,61,51,40,74,50,66,74,58,60,46,46,51,,70,,50,46,54,,,,58,,,,,72,54,40,44,53,,,,65,41,59,42,67,42,60,43,46,64,48,56,,,,,,,,,,,,,,,,,,,,65,63,46,40,52,,60,63,64,61,40,52,47,72,30,56,,,40,,50,63,60,,,,,,,,,,,,,,,,,,76,63,,67,81,45,54,51,68,63,54,50,56,72,,,,,,,,,,,,,,,,,60,2.941176471,Second Class Lower
Male,20,osun,UTME,62,71,47,63,60,67,66,53,57,46,40,48,,50,,68,60,58,,,,66,,,,,70,44,62,40,48,,,,61,42,67,57,63,73,51,45,54,64,40,60,,,,,,,,,,,,,,,,,,,,53,55,40,47,50,,62,70,60,64,44,56,60,61,46,65,,40,60,,54,56,54,,,,,,,,,,,,,,,,,,66,66,,63,68,42,49,43,66,50,53,42,40,65,,,,,,,,,,,,,,,,,60,2.71686747,Second Class Lower
Male,17,osun,UTME,54,65,41,62,72,62,62,69,57,52,40,47,,58,,76,50,52,,,,60,,,,,52,44,63,40,42,,,,60,45,58,55,64,79,67,57,54,70,48,60,,,,,,,,,,,,,,,,,,,,60,56,40,49,47,,60,72,55,64,45,52,50,64,63,66,46,,61,,56,56,58,,,,,,,,,,,,,,,,,,50,44,,57,87,58,59,54,77,47,63,56,42,68,,,,,,,,,,,,,,,,,62,3.025157233,Second Class Lower
Male,21,kwara,UTME,66,54,54,81,60,64,53,59,44,57,58,58,,72,,60,58,52,,,,75,,,,,82,62,51,74,50,,,,63,58,65,67,66,75,68,50,78,76,54,54,,,,,,,,,,,,,,,,,,,,65,58,50,54,67,63,70,86,65,68,48,56,,66,52,67,,,60,,71,77,62,,,,,,,,,,,,,,,,,,70,62,,66,99,58,68,57,98,65,63,62,67,63,,,,,,,,,,,,,,,,,64,3.721854305,Second Class Upper
Male,19,oyo,UTME,66,67,59,69,65,60,50,66,69,55,60,54,,70,,58,68,64,,,,58,,,,,66,52,53,54,46,,,,68,49,58,57,54,72,67,59,60,64,42,55,,,,,,,,,,,,,,,,,,,,60,57,40,52,70,,74,63,44,65,61,52,51,61,60,65,,47,40,57,40,78,54,,,,,,,,,,,,,,,,,,76,63,,65,84,66,60,52,72,56,72,60,56,62,,,,,,,,,,,,,,,,,64,3.431372549,Second Class Lower
Male,20,oyo,UTME,61,82,42,89,55,74,75,56,60,51,40,58,,68,,58,66,58,,,,62,,,,,80,58,56,50,54,,,,68,52,62,66,68,71,65,48,78,82,48,66,,,,,,,,,,,,,,,,,,,,62,67,58,66,51,,73,76,67,64,58,58,50,64,60,70,,,40,68,74,76,60,,,,,,,,,,,,,,,,,,80,62,,70,93,60,63,60,87,62,70,68,72,61,,,,,,,,,,,,,,,,,65,3.803921569,Second Class Upper
Male,20,osun,UTME,58,61,50,61,60,61,60,59,56,52,40,43,,53,,44,42,56,,,,57,,,,,56,52,66,46,44,,,,57,45,58,45,40,71,67,47,44,62,40,57,,,,,,,,,,,,,,,,,,,,70,41,40,44,44,,66,77,64,64,49,48,51,60,42,56,43,,40,,56,57,46,,,,,,,,,,,,,,,,,,80,70,,57,82,54,63,46,87,68,45,56,51,66,,,,,,,,,,,,,,,,,63,2.75,Second Class Lower
Male,21,benue,UTME,68,55,50,50,65,67,70,71,62,50,44,53,,64,,54,40,52,,,,58,,,,,74,58,68,50,62,,,,64,54,60,50,69,80,48,46,66,72,40,63,,,,,,,,,,,,,,,,,,,,60,40,,86,45,,63,71,62,67,44,82,51,63,54,55,,,60,64,46,62,60,,,,,,,,,,,,,,,,,,66,66,,63,87,50,62,48,85,57,69,80,61,61,,,,,,,,,,,,,,,,,63,3.4,Second Class Lower
